treat,CTR,CTR,CTR,CTR,CTR,HFD,HFD,HFD,HFD,HFD
mouse,AL1A,CC1A,CC1B,CC2B,CC3A,HF1A,HF1B,HF2B,HF3A,HF3B
coarse,,,,,,,,,,
313,1.0232150956419095,1.2614965636938735,1.0415383580583877,0.9971151652854967,1.0499367408720715,1.0519110536756777,1.168164336074522,1.1321691165344467,1.0798048511237377,0.8695412001793359
315,1.1113637753846766,1.1014945147315784,1.0733519939741198,1.0101912377257944,1.039687315912141,1.0425257245270334,1.0486507195966042,1.0318678031137944,1.0769887973039909,1.20318935810968
354,0.985961263955698,1.1662895410884753,1.0305040805375298,1.4527698661480641,1.3159010702988132,1.1467966759078219,1.1411234216007802,1.119118969854591,1.0067041771824692,1.1275071759218127
477,0.7831542960579979,0.6621145653962253,0.8885851491986959,0.7580531780144338,0.5881893125742351,0.8175788045996252,0.7781479071393005,0.7693828433689602,0.7723281987355043,0.7624596872479227
512,1.4791406800922042,1.7653759571911198,1.4400847701510027,2.2782861909986156,2.2810566200252254,1.6346346781141141,1.7802830931477143,1.6795206649100183,1.827703753142193,2.1576027023231212
549,1.2987299565870334,1.1822816759183554,1.1333542383594508,1.0625505257274463,0.8973987193924471,1.1572159620318172,1.1197409274990457,1.0981959896356723,1.270796953464383,0.882427338560715
698,0.8801402632302203,0.7708863010786032,0.9166508556879943,0.8546409930429592,0.726530532527775,0.7791328084838972,0.7352284383004521,0.8540565806018301,0.8186695938888943,0.8795597579813539
703,0.8410978285134075,0.730018982136578,0.956249509716722,0.8187597761310446,0.7110296776541144,0.8040195607583961,0.7333729323571698,0.8473899068982933,0.9064812494747795,0.8097526605164143
771,0.8764989425690749,1.159236090468018,0.8324460999216462,1.2153777465385418,1.0882499692657295,1.056538681985898,1.057356065815994,0.9827277321169673,0.9780850586967225,0.8673675941874592
803,0.917351592549294,0.7533221694407255,0.9297398056219791,0.8175340102950869,0.6596568086015929,0.881272941243893,0.865137183528908,0.8782856698694911,0.8313355227984491,0.7623727161461132
1089,1.0720525721525036,0.9731240201042722,1.1061993697186172,0.9573866671701016,0.9957521703907408,1.0221632612864484,0.9671026794129896,1.076122287872183,1.1233995186432244,0.9617370716964547
1097,0.9404525163556144,0.7480192035708892,0.9029962668010592,0.8224796173320086,0.7579323362909332,0.8853353843375591,0.8021729366950936,0.8368241634590472,0.9209936445886056,0.7128084263754907
