treat,CTR,CTR,CTR,CTR,CTR,HFD,HFD,HFD,HFD,HFD
mouse,AL1A,CC1A,CC1B,CC2B,CC3A,HF1A,HF1B,HF2B,HF3A,HF3B
coarse,,,,,,,,,,
698,1.8449217382887926,1.644988973072872,1.7845564538126577,2.040213006396833,1.874998713436126,1.8276301632582437,1.6449304453507592,1.7747665667391406,1.5884092943034902,1.7844916124637042
354,0.9207282200942517,1.5512581595413963,1.5515635199796634,1.7702664499394634,1.5863369327209553,1.4276671829470324,1.439156792756923,1.2733485726220126,1.4812086711123418,1.7503931041362877
313,1.2194771300463532,1.6209662329924714,1.3516207268885052,1.4059162970160686,1.7044392374641368,1.4300811739304267,1.4112821975496452,1.4189082324321325,1.357350694987194,1.0139984198149266
771,1.0000495262345181,1.3302121818411148,1.3606209042151949,1.658584072585663,1.4903324285857378,1.4217883406939322,1.5105781984101472,1.3671408985046847,1.2484859468897231,1.1720199122437451
1089,1.0429817118978635,0.9294164318420649,1.232112544083958,1.1171087069019026,1.0984933449926895,1.1202926181664479,1.0348775484873993,1.2438743816600875,1.1808115050287071,1.0410880126225717
315,1.0380145651086201,0.9568006356269062,0.9149458311684091,0.8353568519077371,1.0147265424860086,0.9822484944292569,1.0639543549442234,0.9462875859435713,0.9340516016031533,1.1228148521092487
1097,0.9706706276327862,0.8615869148837552,0.9756295741581791,1.045501500235174,0.791243128516732,1.021398576419605,0.9066859504364144,1.0118259406406251,1.026458743147418,0.7788227509521902
703,0.8663346443087576,0.7493070645648944,0.9794853662202839,0.9843482436486204,0.762055698368918,0.8636650739843159,0.7670183561055152,0.967832526466354,0.9144247179624372,0.9105612324219348
803,0.7778284410505201,0.8433484181766431,0.9164398356525251,0.9098603955192877,0.6755998598734891,0.9869012052104907,0.9434222048777523,0.9267552924876047,0.8594746769897943,0.8154151734002134
549,0.7464310656223246,0.8168336320296674,0.753869291576734,0.7107612230502296,0.5704942757551397,0.7577268868546548,0.7068309729071377,0.7106940324409453,0.7939852917019368,0.6000304316484494
477,0.6013694205105449,0.6113225888914192,0.7142957457488215,0.6746008043141992,0.4707555107017021,0.6674345077836679,0.6891983871316202,0.7651125606994567,0.7092749317207054,0.7761544117176694
512,0.41431030475442027,0.5107341042247472,0.3741221868764687,0.3871862536414153,0.459762338960502,0.3734974024198987,0.3643581600747766,0.4039616645725691,0.3997261627914907,0.625778131269708
