regionID,acronym,regionName
315,Isocortex,Isocortex
698,OLF,Olfactory areas
1089,HPF,Hippocampal formation
703,CTXsp,Cortical subplate
477,STR,Striatum
803,PAL,Pallidum
549,TH,Thalamus
1097,HY,Hypothalamus
313,MB,Midbrain
771,P,Pons
354,MY,Medulla
512,CB,Cerebellum
